nanog,lmnb2,13.132647514343262
pou3f1,cdkn2c,13.098369598388672
pou3f1,tbc1d1,10.755461692810059
nanog,samd10,10.491532325744629
nanog,usp19,9.570371627807617
kmt2b,eno1,9.486926078796387
nanog,pde4c,9.3916597366333
nanog,urod,9.262511253356934
nanog,arhgap23,9.13572883605957
nanog,bmp7,9.063896179199219
nanog,cdc42bpg,8.881160736083984
nanog,phpt1,8.832276344299316
nanog,pycrl,8.766888618469238
nanog,thpo,8.69847583770752
nanog,surf1,8.540397644042969
pou3f1,slc29a1,8.26478099822998
pou3f1,snx17,8.187422752380371
pou3f1,zkscan17,8.073406219482422
nanog,fam122b,8.057549476623535
pou3f1,tyro3,7.98445987701416
nanog,b230118h07rik,7.971210479736328
pou3f1,cdc42se1,7.9181365966796875
yy1,tbc1d1,7.879236221313477
yy1,ankle2,7.841243743896484
pou3f1,ankle2,7.6992597579956055
pou3f1,hspe1,7.667908668518066
nanog,pex26,7.6445231437683105
nanog,plekha6,7.54267692565918
nanog,ube3b,7.499578475952148
nanog,kcnh2,7.450142860412598
